תאריך פרסום,שם התכשיר,שם תכשיר באנגלית,שם החברה,סיבת העצירה,תאריך העצירה,צפי לחידוש שיווק,קבלת הודעה
,פלוקנול 200,Flucanol 200,MERCK SHARP & DOHME ISRAEL LTD,סיבות תפעוליות,15.5.2016,15.6.2016,
,"אינטגרילין 2 מ""ג/מ""ל",Integrilin 2mg/ml,DEXCEL LTD,אחר,15.5.2016,30.06.2016,
,מלטיהנס,Multihance,TEVA,סיבות תפעוליות,30.5.2016,סוף הרבעון הראשון של 2017,
,אטרופין סולפאט,Atropine sulphate,TEVA,סיבות תפעוליות,03.2016,עד להודעה חדשה,
,"אטודולק אי.אר. טבע ® 600 מ""ג",Etodolac ER Teva 600 mg,TEVA,סיבות תפעוליות,מיידי,עד להודעה חדשה,
,"לוקובורין 10 מ""ג/מ""ל",Leucovorin 10 mg/ml,TEVA,סיבות תפעוליות,06.2016,עד להודעה חדשה,
,מוסקול,Muscol,TEVA,סיבות תפעוליות,05.2016,התכשיר חזר למלאי,
,"פרבסטאטין טבע 20 מ""ג",Pravastatin Teva 20 mg,TEVA,סיבות תפעוליות,מיידי,15.6.2016,
,"רמיפריל טבע 2.5 מ""ג",Ramipril Teva 2.5 mg,DEXCEL LTD,סיבות תפעוליות,05.2016,חזר למלאי,
,פוסיתלמיק טיפות עיניים צמיגות,Fucithalmic Viscous Eye Drops,PFIZER,סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,"טריקאן 150 מ""ג קפסולות",Trican 150 mg capsules,TEVA,סיבות מסחריות,2.2017,הפסקה לצמיתות,
,הקסאקפרון,Hexakapron,DEXCEL LTD,סיבות תפעוליות,מיידי,15.05.2015,
,"מיטומיצין סי 2 מ""ג",Mitomycin C 2 mg,Eli lilly,סיבות מסחריות,09.2016,הפסקה לצמיתות,
,הומלוג מיקס 25,Humalog mix 25,Trima,סיבות מסחריות,11.2016,הפסקת שיווק לצמיתות,
,"תרימקסול 1 מ""ג",Trimexol 1 mg,Trima,סיבות תפעוליות,כבר קיים מחסור,הפסקת שיווק לצמיתות,
,תרימקסול 0.25,Trimexol 0.25 mg,UNIPHARM,סיבות תפעוליות,כבר קיים מחסור,הפסקת שיווק לצמיתות,
,דופלקס 5/160,Duplex 5/160,UNIPHARM,סיבות תפעוליות,מיידי,30.4.2016,
,דופלקס 5/80,Duplex 5/80,PFIZER PFE PHARMACEUTICALS ISRAEL LTD,סיבות תפעוליות,מיידי,30.4.2016,
,אזניל כמוסות,Azenil capsules,PERRIGO ISRAEL AGENCIES LTD,סיבות תפעוליות,03.2016,30.5.2016,
,דואק,Duac,lapidot,סיבות תפעוליות,מיידי,הרבעון השני של 2017,
,טוברקס 2 איקס,Tobrex 2X/Tobramycin 0.3%,Levofloxacin Teva 5 mg/ ml,סיבות תפעוליות,מיידי,1.5.2016,
,"לבופלוקסצין טבע ® 500 מ""ג",TEVA PHARMACEUTICAL INDUST.LTD,TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,4.2016,הפסקת שיווק לצמיתות,
,לוסרטאן פלוס טבע,Losartan Plus Teva,TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,09.2016,הפסקת שיווק לצמיתות,
,לוטמקס,Lotemax,TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,04.2016,05.2016,
,"מונטהלוקאסט טבע ® 10 מ""ג",Montelukast Teva 10 mg,TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,נורמיטן 50,Normiten 50 mg,"TARO INTERNATIONAL LTD, ISRAEL",סיבות תפעוליות,04.2016,התכשיר חזר למלאי,
,טרקספין 300,Trexapin 300,"TARO INTERNATIONAL LTD, ISRAEL",סיבות מסחריות,31.5.2016,הפסקת שיווק לצמיתות,
,טרקספין 600,Trexapin 600,RAFA LABORATORIES LTD,סיבות מסחריות,31.6.2016,הפסקת שיווק לצמיתות,
,רמיטנס 2.5,Ramitens 2.5,Neopharm,סיבות מסחריות,5.2016,הפסקת שיווק לצמיתות,
,אקנהמיצין,Aknemycin,TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,15.3.2016,4.2016,
,"אטורבסטאטין טבע ® 80 מ""ג",Atorvastatin Teva 80 mg,TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,מיידי,המכשיר חזר למלאי,
,דקסאקורט פורטה,Dexacoort Forte,TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,04.2016,עד להודעה חדשה,
,דורזולאמיד טבע ® % 2,Dorzolamide Teva 2%,TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,05.2016,עד להודעה חדשה,
,"פלואורואורציל 50 מ""ג/מ""ל",Fluorouracil 50 mg /ml,Biotis LTD,סיבות תפעוליות,מיידי,04.2016 - המוצר חזר למלאי,
,"היטרין טבליות 2 מ""ג",Hytrine 2 mg tablets,TEVA PHARMACEUTICAL INDUST.LTD,סיבות מסחריות,06.2016,הפסקה לצמיתות,
,"מורפין הידרוכלוריד 10 מ""ג/מ""ל",Morphine Hydrochloride 10 mg/ ml,TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,5.2016,עד להודעה חדשה,
,אופטלגין זריקות,Optalgin Injection,UNIPHARM,סיבות תפעוליות,04.2016,עד להודעה חדשה,
,טרזודיל 100,Trazodil 100,UNIPHARM,סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,טרזודיל 50,Trazodil 50,UNIPHARM,סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,פאקסט 20,Paxxet 20,NOVARTIS,סיבות מסחריות,מיידי,05.2016,
,"ארדיה 30 מ""ג",Aredia 30mg,Novartis,סיבות תפעוליות,06.2016,הפסקה לצמיתות,
,"ארדיה 90 מ""ג",Aredia 90mg,TEVA PHARMACEUTICAL INDUST.LTD,אחר,07.2017,הפסקה לצמיתות,
,הקסאקפרון להזרקה,Hexakapron injection,TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,04.2016,עד להודעה חדשה,
,דקס אוטיק,Dex-Otic,TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,מיידי,03.2016,
,אוקסליפלטין טבע 100mg / 20ml,Oxaliplatin Teva 100 mg / 20 ml,PFIZER PFE PHARMACEUTICALS ISRAEL LTD,סיבות תפעוליות,03.2016,04.2016,
,ארטרוטק 50,Arthrotec 50,PFIZER PFE PHARMACEUTICALS ISRAEL LTD,סיבות מסחריות,11.2016,הפסקה לצמיתות,
,ארטרוטק 75,Arthrotec 75,PFIZER PFE PHARMACEUTICALS ISRAEL LTD,סיבות מסחריות,11.2016,הפסקה לצמיתות,
,"סלברה 100 מ""ג",Celebra 100,PFIZER PFE PHARMACEUTICALS ISRAEL LTD,סיבות מסחריות,05.2016,הפסקה לצמיתות,
,"סלברה 200 מ""ג",Celebra 200,PFIZER,סיבות מסחריות,05.2016,הפסקה לצמיתות,
,ציטוסאר 100,Cytosar 100,RAFA LABORATORIES LTD,סיבות מסחריות,08.2016,הפסקה לצמיתות,
,סיל - און 100,Sil- on 100,UNIPHARM,סיבות מסחריות,07.2016,הפסקה לצמיתות,
,סימבקור 20,Simvacor 20,UNIPHARM,סיבות תפעוליות,מיידי,05.2016,
,סימבקור 80,Simvacor 80,FERRING PHARMACEUTICALS LTD,סיבות תפעוליות,מיידי,05.2016,
,"ג'סטון 50 מ""ג/מ""ל",gestone 50 mg/ml,PFIZER PFE PHARMACEUTICALS ISRAEL LTD,סיבות תפעוליות,08.2016,עד הודעה חדשה,
,"דפו-פרוברה 150 מ""ג/מ""ל",Depo-Provera 150mg,PERRIGO ISRAEL AGENCIES LTD,סיבות תפעוליות,02.2016,05.2016,
,לנוקסין להזרקה,Lanoxin injection,PFIZER PFE PHARMACEUTICALS ISRAEL LTD,סיבות תפעוליות,03.2016,05.2016,
,"לוסטרל טבליות 100 מ""ג",Lustral 100mg,PFIZER PFE PHARMACEUTICALS ISRAEL LTD,סיבות תפעוליות,סוף מרץ 2016,05.2016,
,"לוסטרל טבליות 50 מ""ג",Lustral 50mg,PFIZER PFE PHARMACEUTICALS ISRAEL LTD,סיבות תפעוליות,03.2016,03.2016,
,סיאנה,Sayana,GSK,סיבות תפעוליות,2.2016,4.2016,
,בקטרובן לעור,Bactroban Dermal,"פריגו ישראל סוכנויות בע""מ",סיבות תפעוליות,15.2.2016,10.2016,
,"טמו 20 מ""ג",Temo 20 mg,"פריגו ישראל סוכנויות בע""מ",סיבות תפעוליות,מיידי,3.2016,
,"טמו 250 מ""ג",Temo 250 mg,"פריגו ישראל סוכנויות בע""מ",סיבות תפעוליות,מיידי,3.2016,
,"טמו 5 מ""ג",Temo 5 mg,DEXCEL LTD,סיבות תפעוליות,מיידי,3.2016,
,אלוריל 300,Alloril 300,"טבע תעשיות פרמצבטיות בע""מ",סיבות תפעוליות,מיידי,03.2016,
,דורזולאמיד טימולול טבע,Dorzolamide Timolol Teva,"טבע תעשיות פרמצבטיות בע""מ",סיבות תפעוליות,מיידי,עד להודעה חדשה,
,"גאבאפנטין טבע 800 מ""ג",Gabapentin Teva 800 mg,"טבע תעשיות פרמצבטיות בע""מ",סיבות תפעוליות,מיידי,3.2016,
,"איקאקור 40 מ""ג",Ikacor 40,MERCK SHARP & DOHME ISRAEL LTD,סיבות תפעוליות,10.2016,הפסקה לצמיתות,
,"אורגלוטרן 0.25 מ""ג/0.5 מ""ל",Orgalutran 0.25mg/0.5 ml,"טבע תעשיות פרמצבטיות בע""מ",סיבות תפעוליות,מיידי,25.2.2016,
,"טרבינאפין טבע 250 מ""ג",Terbinafine Teva 250 mg,"אוניפארם בע""מ",סיבות תפעוליות,מיידי,04.2016,
,ממוריט 10,Memeorit 10,ALLERGAN ISRAEL LTD,סיבות תפעוליות,מיידי,03.2016,
,פרד פורטה,Pred Forte,GSK,סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,איזוקט תרסיס,Isoket Spray,TRUPHARM MARKETING 1985 LTD,סיבות מסחריות,12.2016,הפסקה לצמיתות,
,דיטרוקרם 0.1%,Dithrocream 0.1%,TRUPHARM MARKETING 1985 LTD,סיבות מסחריות,מיידי,הפסקה לצמיתות,
,דיטרוקרם 0.25%,Dithrocream 0.25%,TRUPHARM MARKETING 1985 LTD,סיבות מסחריות,מיידי,הפסקה לצמיתות,
,דיטרוקרם 0.5%,Dithrocream 0.5%,TRUPHARM MARKETING 1985 LTD,סיבות מסחריות,מיידי,הפסקה לצמיתות,
,דיטרוקרם 1%,Dithrocream 1%,TRUPHARM MARKETING 1985 LTD,סיבות מסחריות,מיידי,הפסקה לצמיתות,
,דיטרוקרם % 2,Dithrocream 2%,"תרימה תוצרי רפואה ישראליים מעברות בע""מ",סיבות מסחריות,מיידי,הפסקה לצמיתות,
,סוליפנאסין תרימה 10,Solifenacin Trima 10mg,"תרו תעשיה רוקחית בע""מ",סיבות תפעוליות,מיידי,02.2016,
,תרודקס סירופ למבוגרים,Tarodex adult syrup,"תרו תעשיה רוקחית בע""מ",סיבות תפעוליות,מיידי,הפסקה לצמיתות,
,תרודקס סירופ לילדים,Tarodex pediatric syrup,DEXCEL LTD,סיבות תפעוליות,מיידי,הפסקה לצמיתות,
,איומרון 300,Iomeron 300,DEXCEL LTD,סיבות תפעוליות,02.2016,סוף הרבעון הראשון של 2017,
,איומרון 350,Iomeron 350,"TARO INTERNATIONAL LTD, ISRAEL",סיבות תפעוליות,02.2016,סוף הרבעון הראשון של 2017,
,קלוטרימדרם % 1,Clotrimaderm 1%,GSK,סיבות מסחריות,מיידי,הפסקה לצמיתות,
,טימנטין 3.2 ג',Timentin 3.2 g,GSK,סיבות מסחריות,מיידי,הפסקה לצמיתות,
,דפוניט 10 NT,Deponit NT 10,GSK,סיבות מסחריות,12.2016,הפסקה לצמיתות,
,דפוניט NT 5,Deponit NT 5,TEVA PHARMACEUTICAL INDUST.LTD,סיבות מסחריות,12.2016,הפסקה לצמיתות,
,"איקאקור 80 מ""ג",Ikacor 80 mg,TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,8.2016,הפסקה לצמיתות,
,"איקאפרס טבליות 180 מ""ג",Ikapress180 mg,TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,8.2016,הפסקה לצמיתות,
,איקאפרס SR,Ikapress SR,TRIMA ISRAEL PHARMACEUTICAL PRODUCTS MAABAROT LTD,סיבות תפעוליות,6.2016,הפסקה לצמיתות,
,ציקלודרם C,Cicloderm C,TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,1.2016,2.2016,
,אדרנלין,Adrenaline,RAFA LABORATORIES LTD,סיבות תפעוליות,2.2016,עד להודעה חדשה,
,קארדוכסין אמפולות,Cardoxin Ampoules,TEVA PHARMACEUTICAL INDUST.LTD,סיבות מסחריות,08.2016,הפסקה לצמיתות,
,פרוטופיק % 0.1,Protopic 0.1%,"רפא מעבדות בע""מ",סיבות תפעוליות,מיידי,02.2016,
,אומפרה 10,Omepra 10,"מדיליין בע""מ",סיבות מסחריות,6.2016,הפסקה לצמיתות,
,פרוטלוס,Protelos,"אוניפארם בע""מ",סיבות מסחריות,06.2015,הפסקה לצמיתות,
,גלאוטן,Glautan,"פריגו ישראל סוכנויות בע""מ",סיבות תפעוליות,04.2015,07.2015,
,אלקרן להזרקה,Alkeran injection,"דקסל בע""מ",סיבות תפעוליות,04.2016,עד להודעה חדשה,
,"ריבסטיגמין דקסל 4.5 מ""ג",Rivastigmine Dexcel 4.5 mg,"מגאפארם בע""מ",סיבות תפעוליות,מיידי,31.12.2015,
,פק-מרץ אינפוזיה,PK Merz infusion,"מגאפארם בע""מ",סיבות תפעוליות,06.2016,הפסקת שיווק לצמיתות,
,פק-מרץ טבליות,PK Merz tablets,"אוניפארם בע""מ",סיבות תפעוליות,06.2016,הפסקת שיווק לצמיתות,
,תוריד 10,Torid 10,"אוניפארם בע""מ",סיבות תפעוליות,12.2015,30.1.2016,
,תוריד 20,Torid 20,"אוניפארם בע""מ",סיבות תפעוליות,12.2015,30.1.2016,
,תוריד 40,Torid 40,"אוניפארם בע""מ",סיבות תפעוליות,12.2015,30.1.2016,
,תוריד 80,Torid 80,"מגאפארם בע""מ",סיבות תפעוליות,12.2015,30.1.2016,
,וירו-מרץ ג'ל,Viru merz Gel,NOVARTIS ISRAEL LTD,סיבות תפעוליות,6.2016,הפסקת שיווק לצמיתות,
,"ארדיה 30 מ""ג",Aredia 30mg,"תרימה תוצרי רפואה ישראליים מעברות בע""מ",סיבות תפעוליות,12.2015,01.2016,
,פונגימון,Fungimon,GENMEDIX,סיבות תפעוליות,2.2015,עד להודעה חדשה,
,סטרפטז 1500000,"Streptase 1,500000 I.U","רפא מעבדות בע""מ",אחר,12.2015,הפסקת שיווק לצמיתות,
,סיל - און 50,Sil on 50 mg,"רפא מעבדות בע""מ",סיבות מסחריות,11.2016,הפסקת שיווק לצמיתות,
,ולוויר,Valovir,"תרימה תוצרי רפואה ישראליים מעברות בע""מ",סיבות מסחריות,05.2016,הפסקת שיווק לצמיתות,
,קלובטאזול פרופיונאט - תרימה קרם,Clobetasol Propionate - Trima Cream,J-C HEALTH CARE LTD,סיבות תפעוליות,12.2015,עד להודעה חדשה,
,ביאפין,Biafin,TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,04.2016,הרבעון הרביעי של 2016,
,אביטרן 100,Abitren 100,TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,מיידי,הפסקת שיווק לצמיתות,
,"למיבודין טבע ® 100 מ""ג",Lamivudine Teva 100,GSK,סיבות תפעוליות,12.2015,01.2016,
,דואודרט,Duodart,"אוניפארם בע""מ",סיבות תפעוליות,12.2016,רבעון הראשון של 2016,
,מירו 45,Miro 45,"מרק שארפ אנד דום (ישראל) בע""מ",סיבות תפעוליות,12.2015,01.2016,
,ויקטרליס,Victrelis capsules,GSK,סיבות תפעוליות,11.2016,הפסקת שיווק לצמיתות,
,זנטק סירופ,Zantac syrup,"טבע תעשיות פרמצבטיות בע""מ",סיבות תפעוליות,מיידי,2.2016,
,"נקסין 500 מ""ג",Naxyn 500 mg,GENMEDIX,סיבות תפעוליות,12.2015,01.2016,
,דוסטקסל ג'נמדיקס,Docetaxel Genmedix,TEVA PHARMACEUTICAL INDUST.LTD,סיבות מסחריות,מיידי,הפסקה לצמיתות,
,פאפאוורין הידרוכלוריד,Papaverine hydrochloride (solution for injection),TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,"דונפזיל טבע 10 מ""ג",Donepezil Teva 10 mg,TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,מיידי,02.2016,
,"לרקאנידיפין טבע ® 10 מ""ג",Lercanidipine Teva 10 mg,TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,מיידי,אמצע דצמבר 2015,
,ממנטין טבע,Memantine Teva,GENMEDIX,סיבות תפעוליות,מיידי,עד להודעה חדשה,
,"צ'רקודוט סוספנסיה מימית 200 מ""ג/מ""ל",Charcodote Aqueous suspension 200 mg/ ml,NOVARTIS ISRAEL LTD,אחר,02.2016,הפסקת שיווק לצמיתות,
,"אקספורג' 5 מ""ג/ 160 מ""ג",Exforge 5mg/160mg (31567) Film Coated Tablets,"פריגו ישראל פרמצבטיקה בע""מ",סיבות תפעוליות,15.11.2015,03.12.2015,
,Ovestin,Ovestin,אוניפארם,אחר,מיידי,התכשיר חזר למלאי,
,טרזודיל 100,Trazodil 100,"פריגו ישראל פרמצבטיקה בע""מ",אחר,15.11.2015,15.12.2015,
,איזוגן קרם,Isogen cream,MSD,סיבות תפעוליות,01.2016,הפסקת שיווק לצמיתות,
,"טיאנם 500 מ""ג/500 מ""ג",Tienam (cilastatin/imipenem) 500mg/500 mg,"מדיק-תרים בריאות בע""מ",סיבות תפעוליות,מיידי,01/2016,
,אמינופילין IV - פרזניוס,Aminophyllin IV - Fresenius,"מדיק-תרים בריאות בע""מ",סיבות תפעוליות,11.2015,עד להודעה חדשה,
,אמינופילין IV - פרזניוס,Aminophyllin IV - Fresenius,"טבע תעשיות פרמצבטיות בע""מ",סיבות תפעוליות,11.2015,עד להודעה חדשה,
,דקסאמיצין טיפות עיניים,Dexamycin,"רפא מעבדות בע""מ",סיבות תפעוליות,מיידי,02.2016,
,רפאסאל 1 גרם פתילות,Rafassal Supp 1 gram,NOVARTIS ISRAEL LTD,סיבות תפעוליות,11.2015,01.2016,
,"ריטלין ® S.R 20 מ""ג טבליות",Ritalin SR 20 mg tablets,"פריגו ישראל פרמצבטיקה בע""מ",סיבות תפעוליות,מיידי,12.2015,
,אגיסטן וי 0.5 גרם טבליה ואגינלית,Agisten V 0.5 G Vaginal Tablet,"טבע תעשיות פרמצבטיות בע""מ",סיבות תפעוליות,מיידי,12.2015,
,סילאזפריל פלוס טבע,Cilazapril Plus Teva,"טבע תעשיות פרמצבטיות בע""מ",סיבות תפעוליות,03.2016,לצמיתות,
,"איקאקור 120 מ""ג",Ikacor 120mg,ROCHE PHARMACEUTICALS (ISRAEL) LTD,סיבות תפעוליות,11.2015,לצמיתות,
,רוספין 1 גר' תוך שרירי,Rocephin 1 G,"טבע תעשיות פרמצבטיות בע""מ",סיבות תפעוליות,11.2015,הפסקת שיווק לצמיתות,
,"אמוקסיקלב טבע 875 מ""ג",Amoxiclav Teva 875 mg,"טבע תעשיות פרמצבטיות בע""מ",סיבות תפעוליות,11.2015,15.12.2015,
,"מונטהלוקאסט טבע 5 מ""ג",Montelukast Teva 5 mg,UNIPHARM LTD,סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,134-58-31403-00,Rispond 1,UNIPHARM LTD,סיבות תפעוליות,10.2015,15.11.2015,
,ריספונד 2,Rispond 2,"KAMADA LTD, ISRAEL",סיבות תפעוליות,10.2015,15.11.2015,
,קמהקאין % 0.5 זריקה,Kamacaine 0.5% USP Injection,NOVARTIS ISRAEL LTD,סיבות תפעוליות,10.2015,הרבעון השני של 2016,
,"דיובאן 160 מ""ג טבליות מצופות",Diovan 160mg Film Coated Tablets,SANOFI - AVENTIS ISRAEL LTD,סיבות תפעוליות,מיידי,11.2015,
,פלודרה,Fludara,ALLERGAN ISRAEL LTD,סיבות מסחריות,4.2015,עד הודעה חדשה,
,פרד פורטה,pred forte,PFIZER PFE PHARMACEUTICALS ISRAEL LTD,סיבות תפעוליות,10.2015,12.2015,
,"טריקאן 150 מ""ג קפסולות",Trican 150 mg capsules,PFIZER PFE PHARMACEUTICALS ISRAEL LTD,סיבות תפעוליות,09.2015,12.2015,
,"טריקאן 50 מ""ג קפסולות",Trican 50 mg capsules,PFIZER PFE PHARMACEUTICALS ISRAEL LTD,סיבות מסחריות,03.2016,הפסקת שיווק לצמיתות,
,"אדריבלסטינה 10 מ""ג PFS",Adriblastina PFS 10 mg,PFIZER PFE PHARMACEUTICALS ISRAEL LTD,סיבות מסחריות,02.2016,הפסקת שיווק לצמיתות,
,"אדריבלסטינה 50 מ""ג PFS",Adriblastina PFS 50 mg,UNIPHARM LTD,סיבות מסחריות,11.2015,הפסקת שיווק לצמיתות,
,סרנדה 100,Serenada 100,TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,9.2015,10.2015,
,אזיתרומיצין טבע,Azithromycin Teva,"KAMADA LTD, ISRAEL",סיבות תפעוליות,09.2015,11.2015,
,"הפרין להזרקה 5000 יחידות למ""ל BP",Heparin Injection BP 5000 Units/ ml,PFIZER PFE PHARMACEUTICALS ISRAEL LTD,סיבות תפעוליות,9.2015,10.2015,
,דפו-מדרול עם לידוקאין,Depo Medrol + Lidocaine 1 ml,TEVA PHARMACEUTICAL INDUST.LTD,סיבות מסחריות,מיידי,10.2015,
,"לוסרטאן טבע 50 מ""ג",losartan teva 50 mg,TEVA PHARMACEUTICAL INDUST.LTD,סיבות מסחריות,12.2015,הפסקת שיווק לצמיתות,
,"סלואו דראלין 80 מ""ג",slow deralin 80 mg,J-C HEALTH CARE LTD,סיבות תפעוליות,2016,הפסקת שיווק לצמיתות,
,אוראפ פורטה,orap forte,"פריגו ישראל סוכנויות בע""מ",אחר,02.2016,הפסקת שיווק לצמיתות,
,"אימוראן טבליות 25 מ""ג",Imuran Tablets 25 mg,DEXCEL LTD,סיבות תפעוליות,סוף אוגוסט 2015,סוף אוקטובר 2015,
,אלוריל 100,Alloril 100,ABBOT,סיבות תפעוליות,08.2015,09.2015,
,"ניאספן 1000 מ""ג טבליות מצופות בשחרור ממושך",Niaspan 1000 mg Extended release film coated tablets,ABBOT,סיבות מסחריות,04.2016,הפסקת שיווק לצמיתות,
,"ניאספן 500 מ""ג טבליות מצופות בשחרור ממושך",Niaspan 500 mg Extended release film coated tablets,PFIZER PFE PHARMACEUTICALS ISRAEL LTD,סיבות מסחריות,01.2017,הפסקת שיווק לצמיתות,
,"דטרוסיטול 4 מ""ג SR",Detrusitol SR 4mg,PFIZER PFE PHARMACEUTICALS ISRAEL LTD,סיבות תפעוליות,סוף אוגוסט 2015,סוף ספטמבר 2015,
,"לוסטרל טבליות 50 מ""ג",Lustral Tablets 50mg,PFIZER PFE PHARMACEUTICALS ISRAEL LTD,סיבות תפעוליות,09.2015,12.2015,
,זיטרומקס תוך ורידי,Zitromax I.V,"פריגו ישראל סוכנויות בע""מ",סיבות תפעוליות,9.2015,11.2015,
,ספטרין לאינפוזיה,Septrin for infusion,MERCK SHARP & DOHME ISRAEL LTD,סיבות תפעוליות,08.2015,10.2015,
,"נורקורון 10 מ""ג",Norcuron 10 mg,MERCK SHARP & DOHME ISRAEL LTD,סיבות תפעוליות,06.2016,הפסקה לצמיתות,
,"נורקורון 4 מ""ג",Norcuron 4 mg,UNIPHARM LTD,סיבות תפעוליות,02.2016,הפסקה לצמיתות,
,קוואטי 25,Queti 25,NOVARTIS ISRAEL LTD,סיבות מסחריות,08.2015,הפסקה לצמיתות,
,"ריטלין S.R 20 מ""ג טבליות",Ritalin SR 20 mg tablets,MSD,סיבות תפעוליות,15.8.2015,10.2015,
,"טנסופריל 10 מ""ג",Tensopril 10 mg,MSD,סיבות תפעוליות,03.2016,הפסקה לצמיתות,
,"טנסופריל 5 מ""ג",Tensopril 5 mg,MSD,סיבות תפעוליות,03.2016,הפסקה לצמיתות,
,"טנסופריל 20 מ""ג",Tensopril 20 mg,GSK,סיבות תפעוליות,03.2016,הפסקה לצמיתות,
,"אוגמנטין זריקות 500 מ""ג",Augmentin 500 mg Injection,GSK,סיבות תפעוליות,9.2015,הרבעון השני של 2016,
,בקטרובן לעור,Bactroban Dermal,UNIPHARM LTD,סיבות תפעוליות,08.2015,10.2015,
,ריטמיקל 150,Rythmical 150,CTS LTD,סיבות תפעוליות,08.2015,12.2015,
,ניולול ג'ל 0.1%,%Nyolol gel 0.1,TEVA PHARMACEUTICAL INDUST.LTD,סיבות תפעוליות,08.2015,11.2015,
,"פלוקונאזול טבע 2 מ""ג/ מ""ל",Fluconazole Teva 2mg/ml,NOVARTIS ISRAEL LTD,סיבות תפעוליות,12.2015,הפסקה לצמיתות,
,"ראסילז 150 מ""ג",Rasilez 150 mg,NOVARTIS ISRAEL LTD,סיבות מסחריות,01.2016,הפסקה לצמיתות,
,"ראסילז 300 מ""ג",Rasilez 300 mg,REKAH PHARMACEUTICAL INDUSTRY,סיבות מסחריות,01.2016,הפסקה לצמיתות,
,במיקסין משחת עיניים,Bamyxin eye ointment,RAFA LABORATORIES LTD,סיבות תפעוליות,08.2015,01.2016,
,תמיסת אשלגן,Potassium oral solutiion,PFIZER PFE PHARMACEUTICALS ISRAEL LTD,סיבות תפעוליות,קיים כבר מחסור,הפסקה לצמיתות,
,"פרוסטין 2E ג'ל וגינלי 2 מ""ג",Prostin E2 Vaginal Gel 2 mg,PERRIGO ISRAEL PHARMACEUTICALS LTD,סיבות תפעוליות,מיידי,10.2015,
,אגיספור תמיסה,Agispor solution,GSK,סיבות תפעוליות,07.2015,08.2015,
,בטנובט משחה,Betnovate Ointment,"MEDICI MEDICAL LTD, ISRAEL",סיבות תפעוליות,08.2015,01.2016,
,טייפים וי,Typhim VI,NUTRITION CONSUMER HEALTH,סיבות תפעוליות,08.2015,09.2015,
,ויטה מרפן משחה,Vita merphen ointment,ROCHE PHARMACEUTICALS (ISRAEL) LTD,סיבות מסחריות,12.2015,הפסקה לצמיתות,
,רוספין 1 גר' תוך שרירי,Rocephin 1 G I.M,PERRIGO ISRAEL PHARMACEUTICALS LTD,סיבות תפעוליות,11.2015,עד הודעה חדשה,
,סטרון,Setron,"פייזר פרמצבטיקה ישראל בע""מ",סיבות מסחריות,12.2015,הפסקה לצמיתות,
,טיגציל,Tygacil,"סאנופי אוונטיס ישראל בע""מ",סיבות תפעוליות,09.2015,התכשיר חזר למלאי,
,"סורמונטריל 25 מ""ג",Surmontril 25 mg,"סאנופי אוונטיס ישראל בע""מ",סיבות מסחריות,12.2015,הפסקה לצמיתות,
,"טארגוציד 200 מ""ג",Targocid 200 mg,GlaxoSmithKline (Israel) LTD,סיבות מסחריות,04.2016,הפסקה לצמיתות,
,"זובירקס טבליות מסיסות 800 מ""ג",Zovirax tablets dispersible 800 mg,GlaxoSmithKline (Israel) LTD,סיבות תפעוליות,08.2015,09.2015,
,יומובט קרם,Eumovate cream,GlaxoSmithKline (Israel) LTD,סיבות תפעוליות,08.2015,04.2016,
,יומובט משחה,Eumovate ointment,"חברת פייזר פי אף אי פרמצבטיקה ישראל בע""מ",סיבות תפעוליות,09.2015,04.2016,
,"פאסיג'ין 500 מ""ג",Fasigyn 500 mg,GlaxoSmithKline (Israel) LTD,סיבות מסחריות,01.2016,הפסקה לצמיתות,
